"location","location2","location3","location4","lat_OSM","lon_OSM"
"New York City","New York City","New York City","New York City",40.7127281,-74.0060152
"Bratislava, Soviet Yugoslavia.","Bratislava, Soviet Yugoslavia.","Bratislava  Soviet Yugoslavia ","Bratislava  Soviet Yugoslavia",,
"United Kingdom","United Kingdom","United Kingdom","United Kingdom",54.7023545,-3.2765753
"Twxt Tate's Hell & Okeefenokee","Twxt Tate's Hell & Okeefenokee","Twxt Tate s Hell   Okeefenokee","Twxt Tate s Hell   Okeefenokee",,
"Olney MD","Olney MD","Olney MD","Olney MD",39.1532123,-77.0668408
"The <U+0001F30E>","The ","The ","The",,
"Colombia","Colombia","Colombia","Colombia",2.8894434,-73.783892
"California, USA","California, USA","California  USA","California  USA",36.7014631,-118.7559974
"manchester uk","manchester uk","manchester uk","manchester uk",53.4794892,-2.2451148
"St","St","St","St",50.0601579,13.8307479420999
"Boston, MA, the Cradle of Liberty","Boston, MA, the Cradle of Liberty","Boston  MA  the Cradle of Liberty","Boston  MA  the Cradle of Liberty",,
"Boston, Massachusetts","Boston, Massachusetts","Boston  Massachusetts","Boston  Massachusetts",42.3602534,-71.0582912
"Taos, NM","Taos, NM","Taos  NM","Taos  NM",36.4072377,-105.5732847
"Wales, UK","Wales, UK","Wales  UK","Wales  UK",52.2928116,-3.73893
"Cryptologyville","Cryptologyville","Cryptologyville","Cryptologyville",,
"New Mexico","New Mexico","New Mexico","New Mexico",34.5708167,-105.993007
"Make Gyms Great Again!","Make Gyms Great Again!","Make Gyms Great Again ","Make Gyms Great Again",,
"London ","London ","London ","London",51.5073219,-0.1276474
"Edmonton, Alberta","Edmonton, Alberta","Edmonton  Alberta","Edmonton  Alberta",53.535411,-113.507996
"Backing our President <U+0001F1FA><U+0001F1F8>","Backing our President ","Backing our President ","Backing our President",,
"Yorkshire, England","Yorkshire, England","Yorkshire  England","Yorkshire  England",53.7785231,-1.52862910743836
"BAMA","BAMA","BAMA","BAMA",24.15,107.25
"The Court JEST3R Of GOTH ROCK ","The Court JEST3R Of GOTH ROCK ","The Court JEST3R Of GOTH ROCK ","The Court JEST3R Of GOTH ROCK",,
"South West, England","South West, England","South West  England","South West  England",51.0339991,-2.94901191602119
"Coast of Lake MI","Coast of Lake MI","Coast of Lake MI","Coast of Lake MI",43.0389118,-87.8996919
"New York, NY","New York, NY","New York  NY","New York  NY",40.7127281,-74.0060152
"New Jersey, USA","New Jersey, USA","New Jersey  USA","New Jersey  USA",40.0757384,-74.4041622
"Kuna, ID","Kuna, ID","Kuna  ID","Kuna  ID",43.4918307,-116.4201223
"Salt Lake City, Utah","Salt Lake City, Utah","Salt Lake City  Utah","Salt Lake City  Utah",40.7596198,-111.8867975
"Chile","Chile","Chile","Chile",-31.7613365,-71.3187697
"Chicago, IL","Chicago, IL","Chicago  IL","Chicago  IL",41.8755616,-87.6244212
"Alpha Quadrant","Alpha Quadrant","Alpha Quadrant","Alpha Quadrant",,
"WWG1WGA","WWG1WGA","WWG1WGA","WWG1WGA",,
"Cape Town, South Africa","Cape Town, South Africa","Cape Town  South Africa","Cape Town  South Africa",-33.928992,18.417396
"Behind Enemy Lines Commie CA","Behind Enemy Lines Commie CA","Behind Enemy Lines Commie CA","Behind Enemy Lines Commie CA",,
"Past perf no guarantee of futr results","Past perf no guarantee of futr results","Past perf no guarantee of futr results","Past perf no guarantee of futr results",,
"A location in England.","A location in England.","A location in England ","A location in England",,
"Montana, USA","Montana, USA","Montana  USA","Montana  USA",47.3752671,-109.6387579
"Canada","Canada","Canada","Canada",61.0666922,-107.9917071
"Iowa, USA","Iowa, USA","Iowa  USA","Iowa  USA",41.9216734,-93.3122705
"10,452 km2 <U+2764><U+FE0F>","10,452 km2 ","10 452 km2 ","10 452 km2",,
"Hyderabad, India","Hyderabad, India","Hyderabad  India","Hyderabad  India",17.38878595,78.4610647345315
"Riyadh","Riyadh","Riyadh","Riyadh",24.6319692,46.7150648
"Florida & Pennsylvania","Florida & Pennsylvania","Florida   Pennsylvania","Florida   Pennsylvania",27.2070424,-80.8285621
"Maryland, USA","Maryland, USA","Maryland  USA","Maryland  USA",39.5162234,-76.9382069
"USAF Desert Storm/Shield Vet","USAF Desert Storm/Shield Vet","USAF Desert Storm Shield Vet","USAF Desert Storm Shield Vet",,
"Baltimore, MD","Baltimore, MD","Baltimore  MD","Baltimore  MD",39.2908816,-76.610759
