"location","location2","location3","location4","lat_bing","lon_bing"
"New York City","New York City","New York City","New York City",40.7145500183105,-74.0071411132812
"Bratislava, Soviet Yugoslavia.","Bratislava, Soviet Yugoslavia.","Bratislava  Soviet Yugoslavia ","Bratislava  Soviet Yugoslavia",44.8205604553223,20.4622192382812
"United Kingdom","United Kingdom","United Kingdom","United Kingdom",53.9438362121582,-2.55056309700012
"Twxt Tate's Hell & Okeefenokee","Twxt Tate's Hell & Okeefenokee","Twxt Tate s Hell   Okeefenokee","Twxt Tate s Hell   Okeefenokee",29.9204216003418,-84.8247528076172
"Olney MD","Olney MD","Olney MD","Olney MD",39.1504211425781,-77.0685577392578
"The <U+0001F30E>","The ","The ","The",,
"Colombia","Colombia","Colombia","Colombia",3.90665602684021,-73.0762023925781
"California, USA","California, USA","California  USA","California  USA",37.2551002502441,-119.617523193359
"manchester uk","manchester uk","manchester uk","manchester uk",53.4795913696289,-2.24873995780945
"St","St","St","St",0.239318996667862,6.60205698013306
"Boston, MA, the Cradle of Liberty","Boston, MA, the Cradle of Liberty","Boston  MA  the Cradle of Liberty","Boston  MA  the Cradle of Liberty",42.3586616516113,-71.0567398071289
"Boston, Massachusetts","Boston, Massachusetts","Boston  Massachusetts","Boston  Massachusetts",42.3586616516113,-71.0567398071289
"Taos, NM","Taos, NM","Taos  NM","Taos  NM",36.4120216369629,-105.574119567871
"Wales, UK","Wales, UK","Wales  UK","Wales  UK",52.3250732421875,-3.79941296577454
"Cryptologyville","Cryptologyville","Cryptologyville","Cryptologyville",48.3424606323242,7.30260992050171
"New Mexico","New Mexico","New Mexico","New Mexico",34.4213218688965,-106.108406066895
"Make Gyms Great Again!","Make Gyms Great Again!","Make Gyms Great Again ","Make Gyms Great Again",30.7327632904053,130.855911254883
"London ","London ","London ","London",51.506420135498,-0.127210006117821
"Edmonton, Alberta","Edmonton, Alberta","Edmonton  Alberta","Edmonton  Alberta",53.5462417602539,-113.490371704102
"Backing our President <U+0001F1FA><U+0001F1F8>","Backing our President ","Backing our President ","Backing our President",41.8663711547852,14.7456703186035
"Yorkshire, England","Yorkshire, England","Yorkshire  England","Yorkshire  England",54.1956787109375,-1.3953150510788
"BAMA","BAMA","BAMA","BAMA",42.88330078125,-8.36670017242432
"The Court JEST3R Of GOTH ROCK ","The Court JEST3R Of GOTH ROCK ","The Court JEST3R Of GOTH ROCK ","The Court JEST3R Of GOTH ROCK",52.2143707275391,-2.56520009040833
"South West, England","South West, England","South West  England","South West  England",50.9599990844727,-3.22000002861023
"Coast of Lake MI","Coast of Lake MI","Coast of Lake MI","Coast of Lake MI",43.8573417663574,-85.0042114257812
"New York, NY","New York, NY","New York  NY","New York  NY",40.7145500183105,-74.0071411132812
"New Jersey, USA","New Jersey, USA","New Jersey  USA","New Jersey  USA",40.1387748718262,-74.6769104003906
"Kuna, ID","Kuna, ID","Kuna  ID","Kuna  ID",43.4884414672852,-116.42195892334
"Salt Lake City, Utah","Salt Lake City, Utah","Salt Lake City  Utah","Salt Lake City  Utah",40.760311126709,-111.888221740723
"Chile","Chile","Chile","Chile",-35.2327117919922,-71.2188415527344
"Chicago, IL","Chicago, IL","Chicago  IL","Chicago  IL",41.8842506408691,-87.6324462890625
"Alpha Quadrant","Alpha Quadrant","Alpha Quadrant","Alpha Quadrant",41.1954803466797,-90.3799514770508
"WWG1WGA","WWG1WGA","WWG1WGA","WWG1WGA",,
"Cape Town, South Africa","Cape Town, South Africa","Cape Town  South Africa","Cape Town  South Africa",-33.9190902709961,18.4219799041748
"Behind Enemy Lines Commie CA","Behind Enemy Lines Commie CA","Behind Enemy Lines Commie CA","Behind Enemy Lines Commie CA",37.2551002502441,-119.617523193359
"Past perf no guarantee of futr results","Past perf no guarantee of futr results","Past perf no guarantee of futr results","Past perf no guarantee of futr results",40.9437103271484,40.2619209289551
"A location in England.","A location in England.","A location in England ","A location in England",52.598876953125,-1.46688103675842
"Montana, USA","Montana, USA","Montana  USA","Montana  USA",47.0334815979004,-109.645080566406
"Canada","Canada","Canada","Canada",62.5360412597656,-96.3883514404297
"Iowa, USA","Iowa, USA","Iowa  USA","Iowa  USA",42.0746994018555,-93.4999694824219
"10,452 km2 <U+2764><U+FE0F>","10,452 km2 ","10 452 km2 ","10 452 km2",39.1805572509766,-73.9296188354492
"Hyderabad, India","Hyderabad, India","Hyderabad  India","Hyderabad  India",17.3659992218018,78.4759979248047
"Riyadh","Riyadh","Riyadh","Riyadh",24.6821098327637,46.6872215270996
"Florida & Pennsylvania","Florida & Pennsylvania","Florida   Pennsylvania","Florida   Pennsylvania",40.8965110778809,-77.838752746582
"Maryland, USA","Maryland, USA","Maryland  USA","Maryland  USA",38.952522277832,-76.7012176513672
"USAF Desert Storm/Shield Vet","USAF Desert Storm/Shield Vet","USAF Desert Storm Shield Vet","USAF Desert Storm Shield Vet",51.9855499267578,34.6933898925781
"Baltimore, MD","Baltimore, MD","Baltimore  MD","Baltimore  MD",39.2905807495117,-76.609260559082
"À 4,000Kms du Vélodrome","À 4,000Kms du Vélodrome","À 4 000Kms du Vélodrome","À 4 000Kms du Vélodrome",47.6516304016113,-2.75995993614197
"Dublin, OH","Dublin, OH","Dublin  OH","Dublin  OH",40.1049690246582,-83.1330871582031
"Michigan, USA","Michigan, USA","Michigan  USA","Michigan  USA",44.8626174926758,-85.7351379394531
"Los Angeles, CA","Los Angeles, CA","Los Angeles  CA","Los Angeles  CA",34.0534896850586,-118.245323181152
"Washington, DC","Washington, DC","Washington  DC","Washington  DC",38.8903694152832,-77.0319595336914
"South Carolina, USA","South Carolina, USA","South Carolina  USA","South Carolina  USA",33.9038543701172,-80.8937683105469
"Ciudad de Mexico","Ciudad de Mexico","Ciudad de Mexico","Ciudad de Mexico",19.4319400787354,-99.1331481933594
"SP","SP","SP","SP",-23.5339698791504,-46.6288681030273
"New York, USA","New York, USA","New York  USA","New York  USA",40.7145500183105,-74.0071411132812
"Gto, México","Gto, México","Gto  México","Gto  México",20.9053497314453,-101.012580871582
"North West, England","North West, England","North West  England","North West  England",54.0167007446289,-2.63330006599426
"Chetosnovaquia","Chetosnovaquia","Chetosnovaquia","Chetosnovaquia",,
"Stamford UK and Worldwide","Stamford UK and ","Stamford UK and ","Stamford UK and",52.6521110534668,-0.480349987745285
"Las Vegas, Nev.","Las Vegas, Nev.","Las Vegas  Nev ","Las Vegas  Nev",36.1719284057617,-115.140007019043
"Ljubljana, Slovenija","Ljubljana, Slovenija","Ljubljana  Slovenija","Ljubljana  Slovenija",46.0506210327148,14.5028200149536
"Roma, Lazio","Roma, Lazio","Roma  Lazio","Roma  Lazio",41.9032211303711,12.4956502914429
"Orange County, CA","Orange County, CA","Orange County  CA","Orange County  CA",33.7030448913574,-117.761306762695
"Hong Kong","Hong Kong","Hong Kong","Hong Kong",22.333080291748,114.191223144531
"Ft Lauderdale","Ft Lauderdale","Ft Lauderdale","Ft Lauderdale",26.1238803863525,-80.1435699462891
"Alburquerque, NM","Alburquerque, NM","Alburquerque  NM","Alburquerque  NM",35.084228515625,-106.649047851562
"Investigate/Expose Corruption","Investigate/Expose Corruption","Investigate Expose Corruption","Investigate Expose Corruption",31.3235492706299,-89.8638229370117
"Florida, USA","Florida, USA","Florida  USA","Florida  USA",28.4925804138184,-82.4722213745117
"Silicon Valley","Silicon Valley","Silicon Valley","Silicon Valley",37.3699989318848,-122.040000915527
"at my keyboard","at my keyboard","at my keyboard","at my keyboard",47.587085723877,14.1412858963013
"Sacramento, CA/Arkansas ","Sacramento, CA/Arkansas ","Sacramento  CA Arkansas ","Sacramento  CA Arkansas",38.5794410705566,-121.490852355957
"Ankara","Ankara","Ankara","Ankara",39.9210891723633,32.8539085388184
"Tennessee, USA","Tennessee, USA","Tennessee  USA","Tennessee  USA",35.8430023193359,-86.3430480957031
"São Paulo, Brasil","São Paulo, Brasil","São Paulo  Brasil","São Paulo  Brasil",-23.5339698791504,-46.6288681030273
"Boston, MA","Boston, MA","Boston  MA","Boston  MA",42.3586616516113,-71.0567398071289
"Arizona ","Arizona ","Arizona ","Arizona",34.2930793762207,-111.664695739746
"Nairobi, Kenya","Nairobi, Kenya","Nairobi  Kenya","Nairobi  Kenya",-1.29283595085144,36.867748260498
"Berkshire","Berkshire","Berkshire","Berkshire",51.4505157470703,-1.07181203365326
"Dancing the hempen jig","Dancing the hempen jig","Dancing the hempen jig","Dancing the hempen jig",32.9363594055176,75.3739013671875
"London","London","London","London",51.506420135498,-0.127210006117821
"SW England, UK","SW England, UK","SW England  UK","SW England  UK",52.598876953125,-1.46688103675842
"Manhattan, NY","Manhattan, NY","Manhattan  NY","Manhattan  NY",40.7834358215332,-73.9662475585938
"Texas","Texas","Texas","Texas",31.4627456665039,-99.3330459594727
"Bowling Green, KY","Bowling Green, KY","Bowling Green  KY","Bowling Green  KY",36.9946212768555,-86.4455795288086
"Houston, TX","Houston, TX","Houston  TX","Houston  TX",29.7605800628662,-95.3696823120117
