"location","location2","location3","location4","lon_google","lat_google"
"New York City","New York City","New York City","New York City",-74.0059728,40.7127753
"Bratislava, Soviet Yugoslavia.","Bratislava, Soviet Yugoslavia.","Bratislava  Soviet Yugoslavia ","Bratislava  Soviet Yugoslavia",17.1077478,48.1485965
"United Kingdom","United Kingdom","United Kingdom","United Kingdom",-3.435973,55.378051
"Twxt Tate's Hell & Okeefenokee","Twxt Tate's Hell & Okeefenokee","Twxt Tate s Hell   Okeefenokee","Twxt Tate s Hell   Okeefenokee",-84.6950154,29.8430676
"Olney MD","Olney MD","Olney MD","Olney MD",-77.066923,39.1531627
"The <U+0001F30E>","The ","The ","The",-95.6170038,37.0351516
"Colombia","Colombia","Colombia","Colombia",-74.297333,4.570868
"California, USA","California, USA","California  USA","California  USA",-119.4179324,36.778261
"manchester uk","manchester uk","manchester uk","manchester uk",-2.2426305,53.4807593
"St","St","St","St",-95.7017211,37.2251014
"Boston, MA, the Cradle of Liberty","Boston, MA, the Cradle of Liberty","Boston  MA  the Cradle of Liberty","Boston  MA  the Cradle of Liberty",-71.0588801,42.3600825
"Boston, Massachusetts","Boston, Massachusetts","Boston  Massachusetts","Boston  Massachusetts",-71.0588801,42.3600825
"Taos, NM","Taos, NM","Taos  NM","Taos  NM",-105.5730665,36.4072485
"Wales, UK","Wales, UK","Wales  UK","Wales  UK",-3.7837117,52.1306607
"Cryptologyville","Cryptologyville","Cryptologyville","Cryptologyville",,
"New Mexico","New Mexico","New Mexico","New Mexico",-105.8700901,34.5199402
"Make Gyms Great Again!","Make Gyms Great Again!","Make Gyms Great Again ","Make Gyms Great Again",,
"London ","London ","London ","London",-0.1277583,51.5073509
"Edmonton, Alberta","Edmonton, Alberta","Edmonton  Alberta","Edmonton  Alberta",-113.4938229,53.5461245
"Backing our President <U+0001F1FA><U+0001F1F8>","Backing our President ","Backing our President ","Backing our President",,
"Yorkshire, England","Yorkshire, England","Yorkshire  England","Yorkshire  England",,
"BAMA","BAMA","BAMA","BAMA",-95.9570673,36.1892619
"The Court JEST3R Of GOTH ROCK ","The Court JEST3R Of GOTH ROCK ","The Court JEST3R Of GOTH ROCK ","The Court JEST3R Of GOTH ROCK",,
"South West, England","South West, England","South West  England","South West  England",-3.999461,50.7772135
"Coast of Lake MI","Coast of Lake MI","Coast of Lake MI","Coast of Lake MI",-86.369469,42.2208698
"New York, NY","New York, NY","New York  NY","New York  NY",-74.0059728,40.7127753
"New Jersey, USA","New Jersey, USA","New Jersey  USA","New Jersey  USA",-74.4056612,40.0583238
"Kuna, ID","Kuna, ID","Kuna  ID","Kuna  ID",-116.4201223,43.4918307
"Salt Lake City, Utah","Salt Lake City, Utah","Salt Lake City  Utah","Salt Lake City  Utah",-111.8910474,40.7607793
"Chile","Chile","Chile","Chile",-71.542969,-35.675147
"Chicago, IL","Chicago, IL","Chicago  IL","Chicago  IL",-87.6297982,41.8781136
"Alpha Quadrant","Alpha Quadrant","Alpha Quadrant","Alpha Quadrant",-82.226738,27.937373
"WWG1WGA","WWG1WGA","WWG1WGA","WWG1WGA",,
"Cape Town, South Africa","Cape Town, South Africa","Cape Town  South Africa","Cape Town  South Africa",18.4240553,-33.9248685
"Behind Enemy Lines Commie CA","Behind Enemy Lines Commie CA","Behind Enemy Lines Commie CA","Behind Enemy Lines Commie CA",-119.4179324,36.778261
"Past perf no guarantee of futr results","Past perf no guarantee of futr results","Past perf no guarantee of futr results","Past perf no guarantee of futr results",,
"A location in England.","A location in England.","A location in England ","A location in England",-1.1743197,52.3555177
"Montana, USA","Montana, USA","Montana  USA","Montana  USA",-110.3625658,46.8796822
"Canada","Canada","Canada","Canada",-106.346771,56.130366
"Iowa, USA","Iowa, USA","Iowa  USA","Iowa  USA",-93.097702,41.8780025
"10,452 km2 <U+2764><U+FE0F>","10,452 km2 ","10 452 km2 ","10 452 km2",,
"Hyderabad, India","Hyderabad, India","Hyderabad  India","Hyderabad  India",78.486671,17.385044
"Riyadh","Riyadh","Riyadh","Riyadh",46.6752957,24.7135517
"Florida & Pennsylvania","Florida & Pennsylvania","Florida   Pennsylvania","Florida   Pennsylvania",-77.1203371,41.9281056
"Maryland, USA","Maryland, USA","Maryland  USA","Maryland  USA",-76.6412712,39.0457549
"USAF Desert Storm/Shield Vet","USAF Desert Storm/Shield Vet","USAF Desert Storm Shield Vet","USAF Desert Storm Shield Vet",-1.2194668,50.9542227
"Baltimore, MD","Baltimore, MD","Baltimore  MD","Baltimore  MD",-76.6121893,39.2903848
"À 4,000Kms du Vélodrome","À 4,000Kms du Vélodrome","À 4 000Kms du Vélodrome","À 4 000Kms du Vélodrome",5.3958873,43.269827
"Dublin, OH","Dublin, OH","Dublin  OH","Dublin  OH",-83.1140771,40.0992294
"Michigan, USA","Michigan, USA","Michigan  USA","Michigan  USA",-85.6023643,44.3148443
"Los Angeles, CA","Los Angeles, CA","Los Angeles  CA","Los Angeles  CA",-118.2436849,34.0522342
"Washington, DC","Washington, DC","Washington  DC","Washington  DC",-77.0368707,38.9071923
"South Carolina, USA","South Carolina, USA","South Carolina  USA","South Carolina  USA",-81.1637245,33.836081
"Ciudad de Mexico","Ciudad de Mexico","Ciudad de Mexico","Ciudad de Mexico",-99.133208,19.4326077
"SP","SP","SP","SP",-95.6305167,37.0292201
"New York, USA","New York, USA","New York  USA","New York  USA",-74.0059728,40.7127753
"Gto, México","Gto, México","Gto  México","Gto  México",-101.1617356,20.9170187
"North West, England","North West, England","North West  England","North West  England",,
"Chetosnovaquia","Chetosnovaquia","Chetosnovaquia","Chetosnovaquia",,
"Stamford UK and Worldwide","Stamford UK and ","Stamford UK and ","Stamford UK and",-0.480216,52.651282
